Project Name,Issue URL,PR URL,Line Change,Fix duration (days),Category,ML category
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/157,https://github.com/NRCan/geo-deep-learning/pull/208,6097,486,ml,2
justinshenk/fer,https://github.com/justinshenk/fer/issues/7,https://github.com/justinshenk/fer/pull/8,8,182,ml,2
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/37,https://github.com/onnx/onnxmltools/pull/38,23,4,ml,5
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/66,https://github.com/onnx/onnxmltools/pull/74,169,5,ml,6
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/124,https://github.com/onnx/onnxmltools/pull/126,46,15,ml,2
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/50,https://github.com/onnx/onnxmltools/pull/70,300,8,ml,2
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/43,https://github.com/ProGamerGov/neural-style-pt/pull/84,48,10,ml,4
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/362,https://github.com/BindsNET/bindsnet/pull/364,7,4,ml,1
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/351,https://github.com/BindsNET/bindsnet/pull/354,32,10,ml,4
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/224,https://github.com/BindsNET/bindsnet/pull/225,140,19,ml,4
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/904,https://github.com/blue-oil/blueoil/pull/978,4,38,ml,3
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/362,https://github.com/blue-oil/blueoil/pull/364,3,480,ml,2
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/909,https://github.com/blue-oil/blueoil/pull/957,2,36,ml,4
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/138,https://github.com/blue-oil/blueoil/pull/28,160,7,ml,4
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/484,https://github.com/blue-oil/blueoil/pull/1072,135,302,ml,5
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/884,https://github.com/blue-oil/blueoil/pull/882,235,1,ml,2
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/687,https://github.com/blue-oil/blueoil/pull/689,2,2,ml,5
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/805,https://github.com/blue-oil/blueoil/pull/807,12,6,ml,2
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/711,https://github.com/blue-oil/blueoil/pull/719,8,8,ml,4
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/249,https://github.com/blue-oil/blueoil/pull/886,16,319,ml,2
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/123,https://github.com/medipixel/rl_algorithms/pull/124,150,3,ml,6
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/261,https://github.com/medipixel/rl_algorithms/pull/272,312,60,ml,3
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/129,https://github.com/medipixel/rl_algorithms/pull/140,303,5,ml,2
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/243,https://github.com/medipixel/rl_algorithms/pull/272,312,90,ml,3
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/242,https://github.com/medipixel/rl_algorithms/pull/279,42,99,ml,6
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/245,https://github.com/medipixel/rl_algorithms/pull/246,1587,4,ml,6
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1403,https://github.com/ludwig-ai/ludwig/pull/1410,163,4,ml,4
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1911,https://github.com/ludwig-ai/ludwig/pull/1912,10,0,ml,3
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2243,https://github.com/ludwig-ai/ludwig/pull/2445,623,6,ml,6
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1262,https://github.com/ludwig-ai/ludwig/pull/1269,1009,58,ml,4
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/484,https://github.com/ludwig-ai/ludwig/pull/1174,591,651,ml,3
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1389,https://github.com/ludwig-ai/ludwig/pull/1402,42,5,ml,4
