Project Name,Size of fix,Fix duration,Category
ludwig-ai/ludwig,2,0,non-ml
ludwig-ai/ludwig,6,1,non-ml
ludwig-ai/ludwig,15,0,non-ml
ludwig-ai/ludwig,3,0,non-ml
ludwig-ai/ludwig,83,4,non-ml
ludwig-ai/ludwig,19,13,non-ml
ludwig-ai/ludwig,106,1,non-ml
ludwig-ai/ludwig,209,15,non-ml
ludwig-ai/ludwig,98,55,non-ml
ludwig-ai/ludwig,51,56,non-ml
ludwig-ai/ludwig,29,21,non-ml
ludwig-ai/ludwig,46,10,non-ml
ludwig-ai/ludwig,2,19,non-ml
ludwig-ai/ludwig,68,7,non-ml
ludwig-ai/ludwig,2,36,non-ml
ludwig-ai/ludwig,2,0,non-ml
philipperemy/keras-tcn,5,10,non-ml
philipperemy/keras-tcn,1,11,non-ml
atomistic-machine-learning/schnetpack,0,0,non-ml
atomistic-machine-learning/schnetpack,104,3,non-ml
catalyst-team/catalyst,54,0,non-ml
sktime/sktime,90,24,non-ml
sktime/sktime,280,1,non-ml
sktime/sktime,9,407,non-ml
sktime/sktime,173,480,non-ml
sktime/sktime,276,26,non-ml
sktime/sktime,1,14,non-ml
sktime/sktime,84,7,non-ml
sktime/sktime,0,67,non-ml
sktime/sktime,21,7,non-ml
sktime/sktime,1,0,non-ml
sktime/sktime,63,274,non-ml
sktime/sktime,61,100,non-ml
sktime/sktime,11,11,non-ml
sktime/sktime,124,64,non-ml
sktime/sktime,75,356,non-ml
sktime/sktime,287,10,non-ml
sktime/sktime,0,98,non-ml
sktime/sktime,150,62,non-ml
sktime/sktime,12,76,non-ml
sktime/sktime,49,14,non-ml
sktime/sktime,28,196,non-ml
sktime/sktime,139,8,non-ml
sktime/sktime,23,6,non-ml
sktime/sktime,2,1,non-ml
sktime/sktime,572,103,non-ml
sktime/sktime,45,39,non-ml
sktime/sktime,2,0,non-ml
sktime/sktime,3,8,non-ml
sktime/sktime,312,203,non-ml
sktime/sktime,16893,575,non-ml
sktime/sktime,1009,437,non-ml
sktime/sktime,867,16,non-ml
intel/dffml,140,21,non-ml
intel/dffml,75,4,non-ml
intel/dffml,32,20,non-ml
intel/dffml,24,27,non-ml
intel/dffml,864,19,non-ml
autonomio/talos,50,162,non-ml
pyro-ppl/funsor,49,307,non-ml
pyro-ppl/funsor,187,11,non-ml
pyro-ppl/funsor,31,2,non-ml
pyro-ppl/funsor,145,43,non-ml
kymatio/kymatio,75,1,non-ml
kymatio/kymatio,47,1,non-ml
kymatio/kymatio,9,31,non-ml
kymatio/kymatio,33,149,non-ml
kymatio/kymatio,173,871,non-ml
kymatio/kymatio,60,67,non-ml
kymatio/kymatio,0,0,non-ml
kymatio/kymatio,0,7,non-ml
kymatio/kymatio,2,47,non-ml
kymatio/kymatio,33,198,non-ml
kymatio/kymatio,9,1,non-ml
kymatio/kymatio,1,0,non-ml
kymatio/kymatio,149,17,non-ml
kymatio/kymatio,34,2,non-ml
aiqm/torchani,7,13,ml
aiqm/torchani,53,148,ml
aiqm/torchani,495,224,ml
aiqm/torchani,9,0,ml
aiqm/torchani,14,0,ml
DeepLabCut/DeepLabCut,11,88,ml
DeepLabCut/DeepLabCut,0,1,ml
marl/openl3,18,1,ml
HazyResearch/fonduer,11,28,ml
stared/livelossplot,1,39,ml
mozilla/bugbug,93,163,ml
brendanhasz/probflow,1169,169,ml
