Project Name, Issue URL, Issue number, Closed PR that mention, Category
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1502,1502,1522,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1118,1118,1119,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2368,2368,2382,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/819,819,897,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1545,1545,1546,non-ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/138,138,140,non-ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/3,3,4,non-ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/149,149,150,non-ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/182,182,183,non-ml
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/85,85,87,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3633,3633,3635,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/504,504,505,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1478,1478,1473,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1090,1090,967,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1803,1803,1620,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1947,1947,2045,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2717,2717,2720,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3014,3014,3449,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/289,289,310,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2275,2275,2281,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1038,1038,1042,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/918,918,1130,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/522,522,537,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3316,3316,3451,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/534,534,582,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1126,1126,1127,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/539,539,737,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1625,1625,1842,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/692,692,769,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2455,2455,2456,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2905,2905,3807,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1647,1647,1648,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3267,3267,3268,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3772,3772,3775,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3397,3397,3430,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2528,2528,2703,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1837,1837,1841,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/910,910,911,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/510,510,912,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/320,320,295,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1085,1085,3355,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1230,1230,1205,non-ml
intel/dffml,https://github.com/intel/dffml/issues/118,118,150,non-ml
intel/dffml,https://github.com/intel/dffml/issues/349,349,357,non-ml
intel/dffml,https://github.com/intel/dffml/issues/597,597,642,non-ml
intel/dffml,https://github.com/intel/dffml/issues/561,561,617,non-ml
intel/dffml,https://github.com/intel/dffml/issues/49,49,71,non-ml
autonomio/talos,https://github.com/autonomio/talos/issues/223,223,240,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/322,322,417,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/158,158,172,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/26,26,32,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/11,11,95,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/197,197,198,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/836,836,837,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/319,319,328,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/339,339,405,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/513,513,833,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/851,851,915,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/484,484,485,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/256,256,258,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/1,1,342,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/408,408,405,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/296,296,298,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/307,307,308,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/204,204,232,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/194,194,195,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,499,500,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,113,171,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,112,224,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,49,52,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,511,512,ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1792,1792,1911,ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1981,1981,1982,ml
marl/openl3,https://github.com/marl/openl3/issues/73,73,75,ml
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/56,56,64,ml
stared/livelossplot,https://github.com/stared/livelossplot/issues/75,75,77,ml
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/18,18,449,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/21,21,39,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/10,10,53,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/28,28,29,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/18,18,31,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/19,19,46,ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/241,241,246,ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/239,239,246,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/88,88,89,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/111,111,118,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/34,34,91,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/135,135,130,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/60,60,130,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/51,51,52,ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/3,3,4,ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/22,22,23,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/292,292,294,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/57,57,64,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/6,6,30,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/293,293,295,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/84,84,89,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/305,305,308,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/333,333,334,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/260,260,263,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/189,189,208,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/222,222,335,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/370,370,373,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/183,183,298,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/249,249,259,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/264,264,266,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/157,157,208,ml
justinshenk/fer,https://github.com/justinshenk/fer/issues/7,7,8,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/37,37,38,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/66,66,74,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/124,124,126,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/50,50,70,ml
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/43,43,84,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/362,362,364,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/351,351,354,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/224,224,225,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/904,904,978,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/362,362,364,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/909,909,957,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/138,138,28,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/484,484,1072,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/884,884,882,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/687,687,689,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/805,805,807,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/711,711,719,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/249,249,886,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/123,123,124,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/261,261,272,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/129,129,140,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/243,243,272,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/242,242,279,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/245,245,246,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1403,1403,1410,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1911,1911,1912,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2243,2243,2445,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1262,1262,1269,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/484,484,1174,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1389,1389,1402,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1613,1613,1663,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/828,828,829,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1889,1889,1893,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/296,296,367,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1871,1871,1872,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1030,1030,1031,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1991,1991,1992,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2186,2186,2191,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2169,2169,2170,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1181,1181,1326,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1093,1093,1103,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2851,2851,2852,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2144,2144,2175,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/268,268,1174,ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/121,121,122,ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/5,5,6,ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/250,250,261,ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/165,165,216,ml
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/130,130,182,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2444,2444,2609,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1290,1290,1232,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1678,1678,1944,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3192,3192,3232,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1746,1746,2100,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2799,2799,2855,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2849,2849,2850,ml
sktime/sktime,https://github.com/sktime/sktime/issues/4067,4067,4075,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1079,1079,2609,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2696,2696,2382,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2511,2511,2512,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3009,3009,3129,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2233,2233,2234,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3474,3474,3481,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1687,1687,1874,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3907,3907,3915,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2968,2968,2970,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3816,3816,3820,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1364,1364,2458,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3748,3748,3760,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3159,3159,3167,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2573,2573,3010,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2247,2247,2248,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3315,3315,3340,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2441,2441,2454,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3084,3084,3085,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2935,2935,2991,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3191,3191,3233,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3153,3153,3171,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2386,2386,2418,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3169,3169,3231,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3372,3372,3386,ml
intel/dffml,https://github.com/intel/dffml/issues/254,254,268,ml
intel/dffml,https://github.com/intel/dffml/issues/537,537,634,ml
intel/dffml,https://github.com/intel/dffml/issues/316,316,340,ml
intel/dffml,https://github.com/intel/dffml/issues/1181,1181,1226,ml
intel/dffml,https://github.com/intel/dffml/issues/435,435,634,ml
autonomio/talos,https://github.com/autonomio/talos/issues/106,106,109,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/573,573,589,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/70,70,161,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/19,19,36,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/9,9,47,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/637,637,670,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/461,461,459,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/374,374,380,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/568,568,578,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/801,801,888,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/522,522,527,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/451,451,449,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/902,902,919,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/542,542,576,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/811,811,889,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/775,775,883,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/868,868,890,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/418,418,534,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/663,663,667,ml
