Project Name, Issue URL, PR URL, Line Change, Fix duration (days), Category
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/99,https://github.com/NRCan/geo-deep-learning/pull/100,537,10,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/411,https://github.com/NRCan/geo-deep-learning/pull/414,21,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/86,https://github.com/NRCan/geo-deep-learning/pull/91,59,29,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/127,https://github.com/NRCan/geo-deep-learning/pull/133,494,34,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/90,https://github.com/NRCan/geo-deep-learning/pull/91,59,1,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/311,https://github.com/NRCan/geo-deep-learning/pull/315,117,16,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/422,https://github.com/NRCan/geo-deep-learning/pull/424,0,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/81,https://github.com/NRCan/geo-deep-learning/pull/100,537,466,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/423,https://github.com/NRCan/geo-deep-learning/pull/424,0,0,non-ml
justinshenk/fer,https://github.com/justinshenk/fer/issues/24,https://github.com/justinshenk/fer/pull/25,44,22,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/482,https://github.com/onnx/onnxmltools/pull/491,253,29,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/495,https://github.com/onnx/onnxmltools/pull/497,6,4,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/540,https://github.com/onnx/onnxmltools/pull/555,0,58,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/551,https://github.com/onnx/onnxmltools/pull/552,45,6,non-ml
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/64,https://github.com/ProGamerGov/neural-style-pt/pull/65,0,12,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/565,https://github.com/BindsNET/bindsnet/pull/566,2,0,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/212,https://github.com/BindsNET/bindsnet/pull/213,30,1,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/140,https://github.com/BindsNET/bindsnet/pull/141,7,0,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/197,https://github.com/blue-oil/blueoil/pull/198,18,0,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/267,https://github.com/blue-oil/blueoil/pull/268,4,0,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/712,https://github.com/blue-oil/blueoil/pull/724,7,77,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/529,https://github.com/blue-oil/blueoil/pull/541,1713,2,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/260,https://github.com/blue-oil/blueoil/pull/261,3,6,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1201,https://github.com/blue-oil/blueoil/pull/1235,0,150,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1173,https://github.com/blue-oil/blueoil/pull/1177,1,2,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/491,https://github.com/blue-oil/blueoil/pull/513,14,38,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1226,https://github.com/blue-oil/blueoil/pull/1228,0,7,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1158,https://github.com/blue-oil/blueoil/pull/1159,0,13,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/251,https://github.com/medipixel/rl_algorithms/pull/252,13,3,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/247,https://github.com/medipixel/rl_algorithms/pull/246,1489,3,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/230,https://github.com/medipixel/rl_algorithms/pull/234,96,7,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/263,https://github.com/medipixel/rl_algorithms/pull/280,10,35,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/255,https://github.com/medipixel/rl_algorithms/pull/257,11,6,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/254,https://github.com/medipixel/rl_algorithms/pull/256,8,2,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2110,https://github.com/ludwig-ai/ludwig/pull/2109,75,6,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1802,https://github.com/ludwig-ai/ludwig/pull/1830,79,10,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1479,https://github.com/ludwig-ai/ludwig/pull/1669,36,60,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1341,https://github.com/ludwig-ai/ludwig/pull/1344,48,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/552,https://github.com/ludwig-ai/ludwig/pull/553,2,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1875,https://github.com/ludwig-ai/ludwig/pull/1878,6,1,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1147,https://github.com/ludwig-ai/ludwig/pull/1148,15,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/807,https://github.com/ludwig-ai/ludwig/pull/808,3,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1404,https://github.com/ludwig-ai/ludwig/pull/1410,83,4,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/865,https://github.com/ludwig-ai/ludwig/pull/895,19,13,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2499,https://github.com/ludwig-ai/ludwig/pull/2508,106,1,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1365,https://github.com/ludwig-ai/ludwig/pull/1376,209,15,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/491,https://github.com/ludwig-ai/ludwig/pull/530,98,55,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1492,https://github.com/ludwig-ai/ludwig/pull/1589,51,56,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/833,https://github.com/ludwig-ai/ludwig/pull/861,29,21,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1502,https://github.com/ludwig-ai/ludwig/pull/1522,46,10,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1118,https://github.com/ludwig-ai/ludwig/pull/1119,2,19,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2368,https://github.com/ludwig-ai/ludwig/pull/2382,68,7,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/819,https://github.com/ludwig-ai/ludwig/pull/897,2,36,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1545,https://github.com/ludwig-ai/ludwig/pull/1546,2,0,non-ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/138,https://github.com/philipperemy/keras-tcn/pull/140,5,10,non-ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/3,https://github.com/philipperemy/keras-tcn/pull/4,1,11,non-ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/149,https://github.com/atomistic-machine-learning/schnetpack/pull/150,0,0,non-ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/182,https://github.com/atomistic-machine-learning/schnetpack/pull/183,104,3,non-ml
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/85,https://github.com/catalyst-team/catalyst/pull/87,54,0,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3633,https://github.com/sktime/sktime/pull/3635,90,24,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/504,https://github.com/sktime/sktime/pull/505,280,1,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1478,https://github.com/sktime/sktime/pull/1473,9,407,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1090,https://github.com/sktime/sktime/pull/967,173,480,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1803,https://github.com/sktime/sktime/pull/1620,276,26,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1947,https://github.com/sktime/sktime/pull/2045,1,14,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2717,https://github.com/sktime/sktime/pull/2720,84,7,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3014,https://github.com/sktime/sktime/pull/3449,0,67,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/289,https://github.com/sktime/sktime/pull/310,21,7,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2275,https://github.com/sktime/sktime/pull/2281,1,0,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1038,https://github.com/sktime/sktime/pull/1042,63,274,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/918,https://github.com/sktime/sktime/pull/1130,61,100,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/522,https://github.com/sktime/sktime/pull/537,11,11,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3316,https://github.com/sktime/sktime/pull/3451,124,64,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/534,https://github.com/sktime/sktime/pull/582,75,356,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1126,https://github.com/sktime/sktime/pull/1127,287,10,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/539,https://github.com/sktime/sktime/pull/737,0,98,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1625,https://github.com/sktime/sktime/pull/1842,150,62,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/692,https://github.com/sktime/sktime/pull/769,12,76,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2455,https://github.com/sktime/sktime/pull/2456,49,14,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2905,https://github.com/sktime/sktime/pull/3807,28,196,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1647,https://github.com/sktime/sktime/pull/1648,139,8,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3267,https://github.com/sktime/sktime/pull/3268,23,6,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3772,https://github.com/sktime/sktime/pull/3775,2,1,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3397,https://github.com/sktime/sktime/pull/3430,572,103,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2528,https://github.com/sktime/sktime/pull/2703,45,39,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1837,https://github.com/sktime/sktime/pull/1841,2,0,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/910,https://github.com/sktime/sktime/pull/911,3,8,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/510,https://github.com/sktime/sktime/pull/912,312,203,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/320,https://github.com/sktime/sktime/pull/295,16893,575,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1085,https://github.com/sktime/sktime/pull/3355,1009,437,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1230,https://github.com/sktime/sktime/pull/1205,867,16,non-ml
intel/dffml,https://github.com/intel/dffml/issues/118,https://github.com/intel/dffml/pull/150,140,21,non-ml
intel/dffml,https://github.com/intel/dffml/issues/349,https://github.com/intel/dffml/pull/357,75,4,non-ml
intel/dffml,https://github.com/intel/dffml/issues/597,https://github.com/intel/dffml/pull/642,32,20,non-ml
intel/dffml,https://github.com/intel/dffml/issues/561,https://github.com/intel/dffml/pull/617,24,27,non-ml
intel/dffml,https://github.com/intel/dffml/issues/49,https://github.com/intel/dffml/pull/71,864,19,non-ml
autonomio/talos,https://github.com/autonomio/talos/issues/223,https://github.com/autonomio/talos/pull/240,50,162,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/322,https://github.com/pyro-ppl/funsor/pull/417,49,307,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/158,https://github.com/pyro-ppl/funsor/pull/172,187,11,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/26,https://github.com/pyro-ppl/funsor/pull/32,31,2,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/11,https://github.com/pyro-ppl/funsor/pull/95,145,43,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/197,https://github.com/kymatio/kymatio/pull/198,75,1,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/836,https://github.com/kymatio/kymatio/pull/837,47,1,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/319,https://github.com/kymatio/kymatio/pull/328,9,31,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/339,https://github.com/kymatio/kymatio/pull/405,33,149,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/513,https://github.com/kymatio/kymatio/pull/833,173,871,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/851,https://github.com/kymatio/kymatio/pull/915,60,67,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/484,https://github.com/kymatio/kymatio/pull/485,0,0,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/256,https://github.com/kymatio/kymatio/pull/258,0,7,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/1,https://github.com/kymatio/kymatio/pull/342,2,47,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/408,https://github.com/kymatio/kymatio/pull/405,33,198,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/296,https://github.com/kymatio/kymatio/pull/298,9,1,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/307,https://github.com/kymatio/kymatio/pull/308,1,0,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/204,https://github.com/kymatio/kymatio/pull/232,149,17,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/194,https://github.com/kymatio/kymatio/pull/195,34,2,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,https://github.com/aiqm/torchani/pull/500,7,13,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,https://github.com/aiqm/torchani/pull/171,53,148,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,https://github.com/aiqm/torchani/pull/224,495,224,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,https://github.com/aiqm/torchani/pull/52,9,0,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,https://github.com/aiqm/torchani/pull/512,14,0,ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1792,https://github.com/DeepLabCut/DeepLabCut/pull/1911,11,88,ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1981,https://github.com/DeepLabCut/DeepLabCut/pull/1982,0,1,ml
marl/openl3,https://github.com/marl/openl3/issues/73,https://github.com/marl/openl3/pull/75,18,1,ml
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/56,https://github.com/HazyResearch/fonduer/pull/64,11,28,ml
stared/livelossplot,https://github.com/stared/livelossplot/issues/75,https://github.com/stared/livelossplot/pull/77,1,39,ml
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/18,https://github.com/mozilla/bugbug/pull/449,93,163,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/21,https://github.com/brendanhasz/probflow/pull/39,1169,169,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/10,https://github.com/brendanhasz/probflow/pull/53,5,413,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/28,https://github.com/brendanhasz/probflow/pull/29,12,27,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/18,https://github.com/brendanhasz/probflow/pull/31,4117,166,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/19,https://github.com/brendanhasz/probflow/pull/46,709,171,ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/241,https://github.com/hackingmaterials/automatminer/pull/246,7794,6,ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/239,https://github.com/hackingmaterials/automatminer/pull/246,7794,6,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/88,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/89,13,4,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/111,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/118,1398,51,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/34,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/91,221,128,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/135,https://github.com/qubvel/efficientnet/pull/130,1,421,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/60,https://github.com/qubvel/efficientnet/pull/130,1,1008,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/51,https://github.com/qubvel/efficientnet/pull/52,3,2,ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/3,https://github.com/netrack/keras-metrics/pull/4,5,2,ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/22,https://github.com/netrack/keras-metrics/pull/23,0,23,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/292,https://github.com/NRCan/geo-deep-learning/pull/294,55,0,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/57,https://github.com/NRCan/geo-deep-learning/pull/64,16,14,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/6,https://github.com/NRCan/geo-deep-learning/pull/30,645,77,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/293,https://github.com/NRCan/geo-deep-learning/pull/295,329,2,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/84,https://github.com/NRCan/geo-deep-learning/pull/89,2,27,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/305,https://github.com/NRCan/geo-deep-learning/pull/308,115,5,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/333,https://github.com/NRCan/geo-deep-learning/pull/334,2,49,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/260,https://github.com/NRCan/geo-deep-learning/pull/263,115,4,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/189,https://github.com/NRCan/geo-deep-learning/pull/208,107,290,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/222,https://github.com/NRCan/geo-deep-learning/pull/335,75,266,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/370,https://github.com/NRCan/geo-deep-learning/pull/373,0,0,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/183,https://github.com/NRCan/geo-deep-learning/pull/298,105,396,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/249,https://github.com/NRCan/geo-deep-learning/pull/259,35,10,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/264,https://github.com/NRCan/geo-deep-learning/pull/266,5,5,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/157,https://github.com/NRCan/geo-deep-learning/pull/208,107,486,ml
justinshenk/fer,https://github.com/justinshenk/fer/issues/7,https://github.com/justinshenk/fer/pull/8,0,182,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/37,https://github.com/onnx/onnxmltools/pull/38,9,4,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/66,https://github.com/onnx/onnxmltools/pull/74,109,5,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/124,https://github.com/onnx/onnxmltools/pull/126,38,15,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/50,https://github.com/onnx/onnxmltools/pull/70,292,8,ml
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/43,https://github.com/ProGamerGov/neural-style-pt/pull/84,24,10,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/362,https://github.com/BindsNET/bindsnet/pull/364,3,4,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/351,https://github.com/BindsNET/bindsnet/pull/354,8,10,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/224,https://github.com/BindsNET/bindsnet/pull/225,96,19,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/904,https://github.com/blue-oil/blueoil/pull/978,0,38,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/362,https://github.com/blue-oil/blueoil/pull/364,1,480,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/909,https://github.com/blue-oil/blueoil/pull/957,2,36,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/138,https://github.com/blue-oil/blueoil/pull/28,118,7,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/484,https://github.com/blue-oil/blueoil/pull/1072,3,302,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/884,https://github.com/blue-oil/blueoil/pull/882,3,1,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/687,https://github.com/blue-oil/blueoil/pull/689,0,2,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/805,https://github.com/blue-oil/blueoil/pull/807,0,6,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/711,https://github.com/blue-oil/blueoil/pull/719,8,8,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/249,https://github.com/blue-oil/blueoil/pull/886,2,319,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/123,https://github.com/medipixel/rl_algorithms/pull/124,140,3,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/261,https://github.com/medipixel/rl_algorithms/pull/272,8,60,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/129,https://github.com/medipixel/rl_algorithms/pull/140,19,5,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/243,https://github.com/medipixel/rl_algorithms/pull/272,8,90,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/242,https://github.com/medipixel/rl_algorithms/pull/279,14,99,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/245,https://github.com/medipixel/rl_algorithms/pull/246,1489,4,ml
