Name,Issue_URL,Issue_number,PR,Line added,Line deleted,Fix duration (days),Category
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/77,77,95,68,40,108,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/420,420,421,19,19,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/362,362,364,189,132,13,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/231,231,232,36,40,6,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/99,99,100,894,357,10,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/411,411,414,26,5,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/86,86,91,357,298,29,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/127,127,133,1436,942,34,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/90,90,91,357,298,1,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/311,311,315,9,126,16,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/422,422,424,2,2,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/81,81,100,894,357,466,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/423,423,424,2,2,0,non-ml
justinshenk/fer,https://github.com/justinshenk/fer/issues/24,24,25,49,5,22,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/482,482,491,310,57,29,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/495,495,497,10,4,4,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/540,540,555,3,3,58,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/551,551,552,134,89,6,non-ml
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/64,64,65,2,2,12,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/565,565,566,6,4,0,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/212,212,213,538,508,1,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/140,140,141,71,78,0,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/197,197,198,18,0,0,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/267,267,268,5,1,0,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/712,712,724,62,55,77,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/529,529,541,0,1713,2,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/260,260,261,16,13,6,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1201,1201,1235,6,6,150,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1173,1173,1177,34,35,2,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/491,491,513,158,144,38,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1226,1226,1228,17,17,7,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1158,1158,1159,2,2,13,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/251,251,252,25,12,3,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/247,247,246,1538,49,3,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/230,230,234,897,801,7,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/263,263,280,2,12,35,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/255,255,257,39,28,6,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/254,254,256,15,7,2,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2110,2110,2109,89,14,6,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1802,1802,1830,79,0,10,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1479,1479,1669,61,97,60,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1341,1341,1344,52,4,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/552,552,553,3,1,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1875,1875,1878,10,4,1,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1147,1147,1148,27,12,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/807,807,808,3,0,0,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1404,1404,1410,123,40,4,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/865,865,895,32,13,13,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2499,2499,2508,150,44,1,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1365,1365,1376,558,349,15,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/491,491,530,183,85,55,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1492,1492,1589,51,0,56,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/833,833,861,30,1,21,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1502,1502,1522,800,754,10,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1118,1118,1119,4,2,19,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2368,2368,2382,76,8,7,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/819,819,897,0,2,36,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1545,1545,1546,5,3,0,non-ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/138,138,140,7,2,10,non-ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/3,3,4,1,0,11,non-ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/149,149,150,1,1,0,non-ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/182,182,183,134,30,3,non-ml
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/85,85,87,87,33,0,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3633,3633,3635,90,0,24,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/504,504,505,101,381,1,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1478,1478,1473,9,18,407,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1090,1090,967,257,84,480,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1803,1803,1620,985,1261,26,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1947,1947,2045,3,2,14,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2717,2717,2720,104,20,7,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3014,3014,3449,1,1,67,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/289,289,310,35,14,7,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2275,2275,2281,8,9,0,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1038,1038,1042,75,12,274,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/918,918,1130,144,83,100,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/522,522,537,57,46,11,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3316,3316,3451,268,144,64,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/534,534,582,219,144,356,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1126,1126,1127,287,0,10,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/539,539,737,2,2,98,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1625,1625,1842,168,18,62,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/692,692,769,13,1,76,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2455,2455,2456,75,26,14,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2905,2905,3807,44,16,196,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1647,1647,1648,142,3,8,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3267,3267,3268,27,4,6,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3772,3772,3775,5,3,1,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/3397,3397,3430,576,4,103,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/2528,2528,2703,63,18,39,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1837,1837,1841,12,10,0,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/910,910,911,9,6,8,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/510,510,912,918,606,203,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/320,320,295,3437,20330,575,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1085,1085,3355,1009,0,437,non-ml
sktime/sktime,https://github.com/sktime/sktime/issues/1230,1230,1205,2153,1286,16,non-ml
intel/dffml,https://github.com/intel/dffml/issues/118,118,150,623,483,21,non-ml
intel/dffml,https://github.com/intel/dffml/issues/349,349,357,109,34,4,non-ml
intel/dffml,https://github.com/intel/dffml/issues/597,597,642,84,52,20,non-ml
intel/dffml,https://github.com/intel/dffml/issues/561,561,617,52,28,27,non-ml
intel/dffml,https://github.com/intel/dffml/issues/49,49,71,3526,2662,19,non-ml
autonomio/talos,https://github.com/autonomio/talos/issues/223,223,240,73,23,162,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/322,322,417,70,21,307,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/158,158,172,77,264,11,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/26,26,32,31,0,2,non-ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/11,11,95,182,37,43,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/197,197,198,76,1,1,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/836,836,837,5,52,1,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/319,319,328,36,27,31,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/339,339,405,34,1,149,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/513,513,833,55,228,871,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/851,851,915,174,234,67,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/484,484,485,1,1,0,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/256,256,258,2,2,7,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/1,1,342,5,3,47,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/408,408,405,34,1,198,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/296,296,298,11,2,1,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/307,307,308,6,5,0,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/204,204,232,179,30,17,non-ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/194,194,195,88,54,2,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,499,500,7,14,13,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,113,171,433,380,148,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,112,224,695,200,224,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,49,52,67,76,0,ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,511,512,15,1,0,ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1792,1792,1911,16,5,88,ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1981,1981,1982,11,11,1,ml
marl/openl3,https://github.com/marl/openl3/issues/73,73,75,20,2,1,ml
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/56,56,64,278,289,28,ml
stared/livelossplot,https://github.com/stared/livelossplot/issues/75,75,77,1,2,39,ml
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/18,18,449,93,0,163,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/21,21,39,1205,36,169,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/10,10,53,5,0,413,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/28,28,29,13,1,27,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/18,18,31,4277,160,166,ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/19,19,46,718,9,171,ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/241,241,246,8460,666,6,ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/239,239,246,8460,666,6,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/88,88,89,18,5,4,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/111,111,118,1588,190,51,ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/34,34,91,317,96,128,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/135,135,130,2,1,421,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/60,60,130,2,1,1008,ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/51,51,52,26,23,2,ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/3,3,4,5,0,2,ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/22,22,23,3,3,23,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/292,292,294,314,259,0,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/57,57,64,36,20,14,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/6,6,30,795,150,77,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/293,293,295,187,516,2,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/84,84,89,19,21,27,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/305,305,308,34,149,5,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/333,333,334,3,1,49,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/260,260,263,120,235,4,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/189,189,208,3102,2995,290,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/222,222,335,35,110,266,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/370,370,373,1,1,0,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/183,183,298,142,37,396,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/249,249,259,213,178,10,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/264,264,266,9,14,5,ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/157,157,208,3102,2995,486,ml
justinshenk/fer,https://github.com/justinshenk/fer/issues/7,7,8,4,4,182,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/37,37,38,16,7,4,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/66,66,74,139,30,5,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/124,124,126,42,4,15,ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/50,50,70,296,4,8,ml
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/43,43,84,36,12,10,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/362,362,364,5,2,4,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/351,351,354,20,12,10,ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/224,224,225,118,22,19,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/904,904,978,2,2,38,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/362,362,364,1,2,480,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/909,909,957,0,2,36,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/138,138,28,139,21,7,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/484,484,1072,69,66,302,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/884,884,882,116,119,1,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/687,687,689,1,1,2,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/805,805,807,6,6,6,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/711,711,719,8,0,8,ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/249,249,886,9,7,319,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/123,123,124,5,145,3,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/261,261,272,152,160,60,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/129,129,140,161,142,5,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/243,243,272,152,160,90,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/242,242,279,28,14,99,ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/245,245,246,1538,49,4,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1403,1403,1410,123,40,4,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1911,1911,1912,7,3,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2243,2243,2445,281,342,6,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1262,1262,1269,788,221,58,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/484,484,1174,500,91,651,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1389,1389,1402,28,14,5,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1613,1613,1663,14,9,20,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/828,828,829,25,26,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1889,1889,1893,22,18,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/296,296,367,120,8,54,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1871,1871,1872,5,4,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1030,1030,1031,138,6,25,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1991,1991,1992,66,21,37,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2186,2186,2191,108,80,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2169,2169,2170,30,12,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1181,1181,1326,26,25,128,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1093,1093,1103,499,97,141,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2851,2851,2852,6,0,0,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2144,2144,2175,14,14,26,ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/268,268,1174,500,91,780,ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/121,121,122,5,4,1,ml
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/5,5,6,11,8,9,ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/250,250,261,13,2,87,ml
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/165,165,216,3,1,380,ml
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/130,130,182,493,138,55,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2444,2444,2609,30,2,0,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1290,1290,1232,2465,158,344,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1678,1678,1944,18,5,238,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3192,3192,3232,265,1,20,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1746,1746,2100,366,32,102,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2799,2799,2855,503,3,77,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2849,2849,2850,26,4,35,ml
sktime/sktime,https://github.com/sktime/sktime/issues/4067,4067,4075,89,15,6,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1079,1079,2609,30,2,327,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2696,2696,2382,188,91,5,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2511,2511,2512,17,5,6,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3009,3009,3129,30,0,16,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2233,2233,2234,812,13,70,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3474,3474,3481,539,0,8,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1687,1687,1874,228,97,111,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3907,3907,3915,151,40,11,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2968,2968,2970,19,13,3,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3816,3816,3820,57,46,12,ml
sktime/sktime,https://github.com/sktime/sktime/issues/1364,1364,2458,88,80,241,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3748,3748,3760,22,5,8,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3159,3159,3167,30,1,2,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2573,2573,3010,64,34,84,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2247,2247,2248,406,0,107,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3315,3315,3340,3,1,5,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2441,2441,2454,296,178,3,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3084,3084,3085,34,5,9,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2935,2935,2991,62,21,34,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3191,3191,3233,262,0,47,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3153,3153,3171,483,1,142,ml
sktime/sktime,https://github.com/sktime/sktime/issues/2386,2386,2418,18,3,5,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3169,3169,3231,70,33,16,ml
sktime/sktime,https://github.com/sktime/sktime/issues/3372,3372,3386,556,0,31,ml
intel/dffml,https://github.com/intel/dffml/issues/254,254,268,131,2,296,ml
intel/dffml,https://github.com/intel/dffml/issues/537,537,634,182,56,38,ml
intel/dffml,https://github.com/intel/dffml/issues/316,316,340,27,27,10,ml
intel/dffml,https://github.com/intel/dffml/issues/1181,1181,1226,936,941,51,ml
intel/dffml,https://github.com/intel/dffml/issues/435,435,634,182,56,75,ml
autonomio/talos,https://github.com/autonomio/talos/issues/106,106,109,56,272,15,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/573,573,589,155,84,156,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/70,70,161,144,3,695,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/19,19,36,41,21,4,ml
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/9,9,47,15,12,17,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/637,637,670,13,2,90,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/461,461,459,557,6,909,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/374,374,380,84,0,63,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/568,568,578,19,0,3,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/801,801,888,52,36,83,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/522,522,527,51,3,0,ml
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/451,451,449,1428,1167,1,ml
