Name,URL,Created_at,Star,Last commit
nimeshabuddhika/Tensorflow-Chatbot,https://github.com/nimeshabuddhika/Tensorflow-Chatbot,2018-01-05T20:09:08Z,102,2022-12-09T18:36:03Z
jsbroks/imantics,https://github.com/jsbroks/imantics,2019-01-13T00:53:22Z,298,2022-02-27T05:04:09Z
jiwoon-ahn/psa,https://github.com/jiwoon-ahn/psa,2018-05-18T05:49:51Z,338,2021-03-06T14:40:08Z
mila-iqia/babyai,https://github.com/mila-iqia/babyai,2018-10-02T17:58:24Z,564,2022-11-10T14:19:24Z
BradleyGrantham/pl-predictions-using-fifa,https://github.com/BradleyGrantham/pl-predictions-using-fifa,2018-06-16T14:03:33Z,126,2022-11-21T21:36:45Z
scikit-learn-contrib/stability-selection,https://github.com/scikit-learn-contrib/stability-selection,2018-02-17T13:06:56Z,186,2021-09-02T07:55:09Z
aditya-vora/FCHD-Fully-Convolutional-Head-Detector,https://github.com/aditya-vora/FCHD-Fully-Convolutional-Head-Detector,2018-09-23T05:39:57Z,618,2022-12-15T01:18:39Z
hrpan/tetris_mcts,https://github.com/hrpan/tetris_mcts,2018-02-20T20:52:28Z,316,2022-11-22T06:29:12Z
mikgroup/sigpy,https://github.com/mikgroup/sigpy,2018-07-03T20:45:17Z,234,2022-12-22T13:55:42Z
marl/openl3,https://github.com/marl/openl3,2018-10-17T13:14:26Z,326,2022-12-08T17:35:53Z
microsoft/graspologic,https://github.com/microsoft/graspologic,2018-09-07T04:00:05Z,280,2023-01-05T20:27:50Z
benedekrozemberczki/Splitter,https://github.com/benedekrozemberczki/Splitter,2019-03-17T16:08:17Z,201,2022-11-06T21:16:39Z
ultralytics/xview-yolov3,https://github.com/ultralytics/xview-yolov3,2018-06-12T19:21:21Z,207,2022-09-26T19:59:06Z
cgnorthcutt/benchmarking-keras-pytorch,https://github.com/cgnorthcutt/benchmarking-keras-pytorch,2019-02-21T00:00:06Z,364,2021-01-28T08:41:58Z
gsurma/text_predictor,https://github.com/gsurma/text_predictor,2018-10-06T20:09:50Z,108,2021-07-09T08:54:40Z
lihanghang/NLP-Knowledge-Graph,https://github.com/lihanghang/NLP-Knowledge-Graph,2019-01-29T12:15:57Z,1291,2021-12-12T03:35:27Z
TimoBolkart/TF_FLAME,https://github.com/TimoBolkart/TF_FLAME,2019-05-24T13:46:15Z,342,2022-12-30T15:39:10Z
sktime/sktime,https://github.com/sktime/sktime,2018-11-06T15:08:24Z,6012,2023-01-05T21:56:33Z
apoorva-dave/LicensePlateDetector,https://github.com/apoorva-dave/LicensePlateDetector,2018-09-10T03:29:40Z,256,2022-11-22T08:51:12Z
bioinform/neusomatic,https://github.com/bioinform/neusomatic,2018-08-24T22:34:59Z,156,2021-12-23T10:41:50Z
namisan/mt-dnn,https://github.com/namisan/mt-dnn,2019-02-19T22:58:26Z,2065,2022-11-28T17:11:56Z
